name,link_id,from_node_id,to_node_id,facility_type,link_type,length,lanes,free_speed,capacity,dir_flag,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1
,1,1,10293,Highway,1,0.45,1,25,100000,1,0,0.018,100000,0.15,4,1
,2,2,10294,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,3,3,10295,Highway,1,0.39,1,25,100000,1,0,0.0156,100000,0.15,4,1
,4,4,10296,Highway,1,0.58,1,25,100000,1,0,0.0232,100000,0.15,4,1
,5,5,10297,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,6,6,10298,Highway,1,0.58,1,25,100000,1,0,0.0232,100000,0.15,4,1
,7,7,10299,Highway,1,0.45,1,25,100000,1,0,0.018,100000,0.15,4,1
,8,8,10300,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,9,9,10301,Highway,1,0.44,1,25,100000,1,0,0.0176,100000,0.15,4,1
,10,10,10302,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,11,11,10303,Highway,1,0.45,1,25,100000,1,0,0.018,100000,0.15,4,1
,12,12,10304,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,13,13,10305,Highway,1,0.44,1,25,100000,1,0,0.0176,100000,0.15,4,1
,14,14,10306,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,15,15,10307,Highway,1,0.44,1,25,100000,1,0,0.0176,100000,0.15,4,1
,16,16,10308,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,17,17,10309,Highway,1,0.44,1,25,100000,1,0,0.0176,100000,0.15,4,1
,18,18,10310,Highway,1,0.51,1,25,100000,1,0,0.0204,100000,0.15,4,1
,19,19,10311,Highway,1,0.43,1,25,100000,1,0,0.0172,100000,0.15,4,1
,20,20,10312,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,21,21,10313,Highway,1,0.43,1,25,100000,1,0,0.0172,100000,0.15,4,1
,22,22,10314,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,23,23,10315,Highway,1,0.43,1,25,100000,1,0,0.0172,100000,0.15,4,1
,24,24,10316,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,25,25,10317,Highway,1,0.43,1,25,100000,1,0,0.0172,100000,0.15,4,1
,26,26,10318,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,27,27,10319,Highway,1,0.43,1,25,100000,1,0,0.0172,100000,0.15,4,1
,28,28,10320,Highway,1,0.93,1,25,100000,1,0,0.0372,100000,0.15,4,1
,29,29,10321,Highway,1,0.93,1,25,100000,1,0,0.0372,100000,0.15,4,1
,30,30,10322,Highway,1,0.92,1,25,100000,1,0,0.0368,100000,0.15,4,1
,31,31,10323,Highway,1,0.39,1,25,100000,1,0,0.0156,100000,0.15,4,1
,32,32,10324,Highway,1,0.49,1,25,100000,1,0,0.0196,100000,0.15,4,1
,33,33,10325,Highway,1,0.54,1,25,100000,1,0,0.0216,100000,0.15,4,1
,34,34,10326,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,35,35,10327,Highway,1,0.3,1,25,100000,1,0,0.012,100000,0.15,4,1
,36,36,10328,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,37,37,10329,Highway,1,0.42,1,25,100000,1,0,0.0168,100000,0.15,4,1
,38,38,10330,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,39,39,10331,Highway,1,0.48,1,25,100000,1,0,0.0192,100000,0.15,4,1
,40,40,10332,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,41,41,10333,Highway,1,0.55,1,25,100000,1,0,0.022,100000,0.15,4,1
,42,42,10334,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,43,43,10335,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,44,44,10336,Highway,1,0.41,1,25,100000,1,0,0.0164,100000,0.15,4,1
,45,45,10337,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,46,46,10338,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,47,47,10339,Highway,1,0.43,1,25,100000,1,0,0.0172,100000,0.15,4,1
,48,48,10340,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,49,49,10341,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,50,50,10342,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,51,51,10343,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,52,52,10344,Highway,1,0.5,1,25,100000,1,0,0.02,100000,0.15,4,1
,53,53,10345,Highway,1,0.52,1,25,100000,1,0,0.0208,100000,0.15,4,1
,54,54,4051,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,55,55,2447,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
,56,56,4053,Highway,1,0.12,1,25,100000,1,0,0.0048,100000,0.15,4,1
